meet_name,meet_url,year,month,state,level,season
SPSL Sub District Championships,https://www.milesplit.com/meets/222168-spsl-sub-district-championships-2015/results,2015,10,WA,HS,XC
WESCO/Cascade Championships,https://www.milesplit.com/meets/222273-wescocascade-championships-2015/results,2015,10,WA,HS,XC
Emerald City League Championships,https://www.milesplit.com/meets/222170-emerald-city-league-xc-championships-2015/results,2015,10,WA,HS,XC
Mt SAC Invitational,https://www.milesplit.com/meets/212872-mt-sac-invitational-2015/results,2015,10,WA,HS,XC
2B Dist IV Central League Championship,https://www.milesplit.com/meets/222292-2b-dist-iv-central-league-championship-2015/results,2015,10,WA,HS,XC
2B Pacific League Championship,https://wa.milesplit.com/meets/222291-2b-pacific-league-championship-2015/results,2015,10,WA,HS,XC
CWAC League Meet @ West Valley,https://www.milesplit.com/meets/222290-cwac-league-meet-west-valley-2015/results,2015,10,WA,HS,XC
CWAC League: Quincy & Othello @ Ellenburg,https://wa.milesplit.com/meets/222021-cwac-league-quincy-and-othello-ellenburg-2015/results,2015,10,WA,HS,XC
Evergreen 1A/2A League Championship,https://wa.milesplit.com/meets/222032-evergreen-1a2a-league-championship-2015/results,2015,10,WA,HS,XC
GSHL 2A All-League meet,https://wa.milesplit.com/meets/222011-gshl-2a-all-league-meet-2015/results,2015,10,WA,HS,XC
GSHL 3A District Meet,https://wa.milesplit.com/meets/222033-gshl-3a-district-meet-2015/results,2015,10,WA,HS,XC
MCC Districts/JV Championships,https://wa.milesplit.com/meets/222012-mcc-districtsjv-championships-2015/results,2015,10,WA,HS,XC
Metro League 3A Championships,https://wa.milesplit.com/meets/222013-metro-league-3a-xc-championships-2015/results,2015,10,WA,HS,XC
Nisqually League Championship,https://wa.milesplit.com/meets/222015-nisqually-league-championship-2015/results,2015,10,WA,HS,XC
NWC Championships - JV & Varsity,https://wa.milesplit.com/meets/222019-nwc-championships-jv-and-varsity-2015/results,2015,10,WA,HS,XC
Olympic League Championships,https://www.milesplit.com/meets/222022-olympic-league-championships-2015/results,2015,10,WA,HS,XC
SCAC #4 @ Zillah,https://wa.milesplit.com/meets/222016-scac-4-zillah-2015/results,2015,10,WA,HS,XC
SCAC League @ La Salle,https://wa.milesplit.com/meets/222034-scac-league-la-salle-2015/results,2015,10,WA,HS,XC
SCAC Meet #4 @ Connell,https://wa.milesplit.com/meets/222035-scac-meet-4-connell-2015/results,2015,10,WA,HS,XC
SeaTac League Championship,https://wa.milesplit.com/meets/222036-seatac-league-championship-2015/results,2015,10,WA,HS,XC
"CWAC: Grandview, Ephrata, Selah, @ Toppenish",https://wa.milesplit.com/meets/221922-cwac-grandview-ephrata-selah-toppenish-2015/results,2015,10,WA,HS,XC
Evergreen League Championships,https://wa.milesplit.com/meets/221923-evergreen-league-championships-2015/results,2015,10,WA,HS,XC
